"Energiedragers","Perioden","Energieaanbod/Totaal aanbod (TPES) (PJ)","Winning","Invoer","Uitvoer","Energieverbruik"
"Totaal kool en koolproducten","2017**","   383.0","","   394.1","     8.0","   383.0"
"Steenkool en bruinkool","1946","       0.","   241.0","       .","       .","       ."
"Steenkool en bruinkool","1947","       0.","   290.0","       .","       .","       ."
"Steenkool en bruinkool","1948","       0.","   310.0","       .","       .","       ."
"Steenkool en bruinkool","1949","       0.","   327.0","       .","       .","       ."
"Steenkool en bruinkool","1950","       0.","   341.0","       .","       .","       ."
"Steenkool en bruinkool","1951","       0.","   348.0","   139.3","     9.9","       ."
"Steenkool en bruinkool","1952","       0.","   350.0","   143.6","     7.7","       ."
"Steenkool en bruinkool","1953","       0.","   344.0","   140.7","    13.5","       ."
"Steenkool en bruinkool","1954","       0.","   336.0","   192.5","    33.6","       ."
"Steenkool en bruinkool","1955","       0.","   333.0","   208.4","    31.8","       ."
"Steenkool en bruinkool","1956","       0.","   332.0","   233.5","    31.6","       ."
"Steenkool en bruinkool","1957","       0.","   320.0","   238.3","    31.6","       ."
"Steenkool en bruinkool","1958","       0.","   333.0","   194.7","    37.8","       ."
"Steenkool en bruinkool","1959","       0.","   334.0","   178.5","    50.7","       ."
"Steenkool en bruinkool","1960","       0.","   343.0","   194.8","    60.1","       ."
"Steenkool en bruinkool","1961","       0.","   346.0","   196.3","    65.2","       ."
"Steenkool en bruinkool","1962","       0.","   317.0","   244.4","    64.1","       ."
"Steenkool en bruinkool","1963","       0.","   316.0","   273.2","    70.7","       ."
"Steenkool en bruinkool","1964","       0.","   315.0","   255.0","    59.2","       ."
"Steenkool en bruinkool","1965","       0.","   314.0","   195.0","    57.4","       ."
"Steenkool en bruinkool","1966","       0.","   276.0","   183.4","    50.8","       ."
"Steenkool en bruinkool","1967","       0.","   221.0","   192.9","    53.0","       ."
"Steenkool en bruinkool","1968","       0.","   182.0","   202.5","    53.9","       ."
"Steenkool en bruinkool","1969","       0.","   152.0","   162.0","    49.0","       ."
"Steenkool en bruinkool","1970","       0.","   119.0","   131.1","    45.2","       ."
"Steenkool en bruinkool","1971","   131.0","    99.0","    95.0","    63.0","   131.0"
"Steenkool en bruinkool","1972","   107.0","    77.0","    92.0","    67.0","   107.0"
"Steenkool en bruinkool","1973","   126.0","    47.0","   115.0","    53.0","   126.0"
"Steenkool en bruinkool","1974","   118.0","    21.0","   127.0","    32.0","   118.0"
"Steenkool en bruinkool","1975","   111.0","","   118.0","     4.0","   111.0"
"Steenkool en bruinkool","1976","   140.0","","   142.0","     4.0","   140.0"
"Steenkool en bruinkool","1977","   142.0","","   145.0","     1.0","   142.0"
"Steenkool en bruinkool","1978","   151.0","","   150.0","     7.0","   151.0"
"Steenkool en bruinkool","1979","   140.0","","   180.0","    36.0","   141.0"
"Steenkool en bruinkool","1980","   167.0","","   194.0","    34.0","   168.0"
"Steenkool en bruinkool","1981","   171.0","","   214.0","    24.0","   172.0"
"Steenkool en bruinkool","1982","   224.0","","   241.0","    18.0","   224.0"
"Steenkool en bruinkool","1983","   219.0","     3.0","   211.0","    18.0","   219.0"
"Steenkool en bruinkool","1984","   270.0","     3.0","   300.0","    42.0","   270.0"
"Steenkool en bruinkool","1985","   275.0","     3.0","   321.0","    48.0","   275.0"
"Steenkool en bruinkool","1986","   285.0","     2.0","   339.0","    65.0","   285.0"
"Steenkool en bruinkool","1987","   303.0","","   360.0","    47.0","   303.0"
"Steenkool en bruinkool","1988","   357.0","","   406.0","    48.0","   357.0"
"Steenkool en bruinkool","1989","   356.0","","   387.0","    30.0","   356.0"
"Steenkool en bruinkool","1990","   376.9","","   376.9","","   376.9"
