"Energiedragers","Perioden","Energieaanbod/Winning (PJ)","Energieaanbod/Invoer (PJ)","Energieaanbod/Uitvoer (PJ)","Energieaanbod/Invoersaldo (PJ)","Energieaanbod/Bunkering (PJ)","Totaal energieverbruik (PJ)"
"Totaal overige energiedragers","1998","    71.2","       .","       .","       .","","    71.2"
"Totaal overige energiedragers","1999","    72.2","       .","       .","       .","","    72.2"
"Totaal overige energiedragers","2000","    72.0","       .","       .","       .","","    72.0"
"Totaal overige energiedragers","2001","    72.8","       .","       .","       .","","    72.8"
"Totaal overige energiedragers","2002","    74.2","       .","       .","       .","","    74.2"
"Totaal overige energiedragers","2003","    77.3","       .","       .","       .","","    77.3"
"Totaal overige energiedragers","2004","    77.4","       .","       .","       .","","    77.4"
"Totaal overige energiedragers","2005","    80.6","       .","       .","       .","","    80.6"
"Totaal overige energiedragers","2006","    73.4","       .","       .","       .","","    73.4"
"Totaal overige energiedragers","2007","    80.0","       .","       .","       .","","    80.0"
"Totaal overige energiedragers","2008","    80.2","       .","       .","       .","","    80.2"
"Totaal overige energiedragers","2009","    80.0","       .","       .","       .","","    80.0"
"Totaal overige energiedragers","2010","    75.5","       .","       .","       .","","    75.5"
"Totaal overige energiedragers","2011","    78.2","     1.6","     1.1","     1.0","","    78.8"
"Totaal overige energiedragers","2012","    75.4","     4.3","     1.2","     3.0","","    78.6"
"Totaal overige energiedragers","2013","    63.4","     7.1","     1.2","     6.0","","    69.3"
"Totaal overige energiedragers","2014","    75.6","     7.2","     1.2","     6.0","","    81.5"
"Totaal overige energiedragers","2015","    74.7","     7.5","     1.2","     6.0","","    80.9"
"Totaal overige energiedragers","2016","    74.6","     8.9","     1.2","     8.0","","    82.4"
"Totaal overige energiedragers","2017**","    70.9","     9.0","     1.5","     7.0","","    78.4"
