"Energiedragers","Perioden","Energieaanbod/Winning (PJ)","Energieaanbod/Invoer (PJ)","Energieaanbod/Uitvoer (PJ)","Energieaanbod/Invoersaldo (PJ)","Energieaanbod/Bunkering (PJ)","Totaal energieverbruik (PJ)"
"Totaal kool en koolproducten","1977","","   153.0","    22.0","   131.0","","   132.0"
"Totaal kool en koolproducten","1978","","   166.0","    28.0","   138.0","","   152.0"
"Totaal kool en koolproducten","1979","","   208.0","    56.0","   152.0","","   145.0"
"Totaal kool en koolproducten","1980","","   221.0","    56.0","   165.0","","   167.0"
"Totaal kool en koolproducten","1981","","   245.0","    50.0","   195.0","","   185.0"
"Totaal kool en koolproducten","1982","","   263.0","    38.0","   225.0","","   214.0"
"Totaal kool en koolproducten","1983","     3.0","   230.0","    42.0","   188.0","","   222.0"
"Totaal kool en koolproducten","1984","     3.0","   328.0","    70.0","   258.0","","   267.0"
"Totaal kool en koolproducten","1985","     3.0","   337.0","    76.0","   261.0","","   266.0"
"Totaal kool en koolproducten","1986","     2.0","   358.0","    94.0","   264.0","","   274.0"
"Totaal kool en koolproducten","1987","","   372.0","    73.0","   299.0","","   289.0"
"Totaal kool en koolproducten","1988","","   423.0","    77.0","   346.0","","   346.0"
"Totaal kool en koolproducten","1989","","   404.0","    58.0","   346.0","","   343.0"
"Totaal kool en koolproducten","1990","","   389.5","    24.7","   365.0","","   366.9"
"Totaal kool en koolproducten","1991","","   367.9","    32.1","   336.0","","   335.6"
"Totaal kool en koolproducten","1992","","   370.1","    34.6","   335.0","","   335.3"
"Totaal kool en koolproducten","1993","","   361.1","    27.3","   334.0","","   336.6"
"Totaal kool en koolproducten","1994","","   398.6","    29.2","   369.0","","   367.2"
"Totaal kool en koolproducten","1995","","   409.1","    32.6","   376.0","","   373.6"
"Totaal kool en koolproducten","1996","","   385.6","    27.3","   358.0","","   361.1"
"Totaal kool en koolproducten","1997","","   391.9","    30.4","   362.0","","   351.7"
"Totaal kool en koolproducten","1998","","   395.6","    33.8","   362.0","","   357.9"
"Totaal kool en koolproducten","1999","","   328.6","    24.7","   304.0","","   312.3"
"Totaal kool en koolproducten","2000","","   340.1","    16.8","   323.0","","   325.2"
"Totaal kool en koolproducten","2001","","   371.3","    23.9","   347.0","","   346.2"
"Totaal kool en koolproducten","2002","","   367.9","    21.0","   347.0","","   348.0"
"Totaal kool en koolproducten","2003","","   372.8","    17.5","   355.0","","   359.3"
"Totaal kool en koolproducten","2004","","   369.2","    10.9","   358.0","","   354.6"
"Totaal kool en koolproducten","2005","","   354.1","    11.1","   343.0","","   338.6"
"Totaal kool en koolproducten","2006","","   342.0","    22.4","   320.0","","   323.9"
"Totaal kool en koolproducten","2007","","   371.9","    17.7","   354.0","","   351.8"
"Totaal kool en koolproducten","2008","","   341.0","    10.2","   331.0","","   333.5"
"Totaal kool en koolproducten","2009","","   310.7","     4.8","   306.0","","   312.4"
"Totaal kool en koolproducten","2010","","   324.5","     4.6","   320.0","","   315.5"
"Totaal kool en koolproducten","2011","","   315.9","     1.8","   314.0","","   311.4"
"Totaal kool en koolproducten","2012","","   340.8","     3.3","   338.0","","   341.2"
"Totaal kool en koolproducten","2013","","   343.9","     9.2","   335.0","","   342.8"
"Totaal kool en koolproducten","2014","","   406.8","    18.3","   389.0","","   378.8"
"Totaal kool en koolproducten","2015","","   452.2","     7.1","   445.0","","   461.1"
"Totaal kool en koolproducten","2016","","   430.7","     5.3","   425.0","","   427.3"
"Totaal kool en koolproducten","2017**","","   394.1","     8.0","   386.0","","   383.0"
"Totaal aardoliegrondstoffen en producten","1946","     3.0","       .","       .","    70.0","    12.0","    57.0"
"Totaal aardoliegrondstoffen en producten","1947","     9.0","       .","       .","   104.0","    27.0","    78.0"
"Totaal aardoliegrondstoffen en producten","1948","    21.0","       .","       .","   100.0","    30.0","    86.0"
"Totaal aardoliegrondstoffen en producten","1949","    27.0","       .","       .","   107.0","    38.0","   102.0"
"Totaal aardoliegrondstoffen en producten","1950","    30.0","       .","       .","   151.0","    50.0","   126.0"
"Totaal aardoliegrondstoffen en producten","1951","    30.0","       .","       .","   185.0","    71.0","   138.0"
"Totaal aardoliegrondstoffen en producten","1952","    31.0","       .","       .","   179.0","    70.0","   146.0"
"Totaal aardoliegrondstoffen en producten","1953","    35.0","       .","       .","   187.0","    69.0","   157.0"
"Totaal aardoliegrondstoffen en producten","1954","    40.0","       .","       .","   228.0","   103.0","   194.0"
"Totaal aardoliegrondstoffen en producten","1955","    44.0","       .","       .","   298.0","   111.0","   226.0"
"Totaal aardoliegrondstoffen en producten","1956","    47.0","       .","       .","   356.0","   123.0","   281.0"
"Totaal aardoliegrondstoffen en producten","1957","    65.0","       .","       .","   350.0","   116.0","   290.0"
"Totaal aardoliegrondstoffen en producten","1958","    69.0","       .","       .","   387.0","   120.0","   325.0"
"Totaal aardoliegrondstoffen en producten","1959","    76.0","       .","       .","   410.0","   114.0","   371.0"
"Totaal aardoliegrondstoffen en producten","1960","    82.0","       .","       .","   499.0","   126.0","   466.0"
"Totaal aardoliegrondstoffen en producten","1961","    87.0","       .","       .","   636.0","   169.0","   519.0"
"Totaal aardoliegrondstoffen en producten","1962","    92.0","       .","       .","   650.0","   183.0","   586.0"
"Totaal aardoliegrondstoffen en producten","1963","    95.0","       .","       .","   754.0","   188.0","   665.0"
"Totaal aardoliegrondstoffen en producten","1964","    97.0","       .","       .","   905.0","   214.0","   764.0"
"Totaal aardoliegrondstoffen en producten","1965","   102.0","       .","       .","  1016.0","   243.0","   868.0"
"Totaal aardoliegrondstoffen en producten","1966","   101.0","       .","       .","  1084.0","   244.0","   912.0"
"Totaal aardoliegrondstoffen en producten","1967","    97.0","       .","       .","  1159.0","   259.0","   932.0"
"Totaal aardoliegrondstoffen en producten","1968","    92.0","       .","       .","  1239.0","   319.0","  1017.0"
"Totaal aardoliegrondstoffen en producten","1969","    86.0","       .","       .","  1394.0","   392.0","  1069.0"
"Totaal aardoliegrondstoffen en producten","1970","    82.0","       .","       .","  1548.0","   423.0","  1171.0"
"Totaal aardoliegrondstoffen en producten","1971","    73.0","       .","       .","  1470.0","   442.0","  1151.0"
"Totaal aardoliegrondstoffen en producten","1972","    70.0","       .","       .","  1648.0","   537.0","  1228.0"
"Totaal aardoliegrondstoffen en producten","1973","    67.0","       .","       .","  1947.0","   567.0","  1261.0"
"Totaal aardoliegrondstoffen en producten","1974","    67.0","       .","       .","  1435.0","   460.0","  1125.0"
"Totaal aardoliegrondstoffen en producten","1975","    67.0","  4550.0","  3172.0","  1378.0","   507.0","   985.0"
"Totaal aardoliegrondstoffen en producten","1976","    66.0","  5166.0","  3548.0","  1618.0","   544.0","  1134.0"
"Totaal aardoliegrondstoffen en producten","1977","    69.0","  4881.0","  3331.0","  1550.0","   522.0","  1095.0"
"Totaal aardoliegrondstoffen en producten","1978","    65.0","  4816.0","  3217.0","  1599.0","   534.0","  1162.0"
"Totaal aardoliegrondstoffen en producten","1979","    68.0","  5692.0","  3908.0","  1784.0","   464.0","  1311.0"
"Totaal aardoliegrondstoffen en producten","1980","    67.0","  5513.0","  3899.0","  1614.0","   445.0","  1204.0"
"Totaal aardoliegrondstoffen en producten","1981","    69.0","  4891.0","  3588.0","  1303.0","   421.0","  1105.0"
